"Node","ux [m]","uy [m]","uz [m]","rx [rad]","ry [rad]","rz [rad]"
"n1","0","0","0","0","0","0"
"n2","0","0","-0.04499999999999999","0","0.022499999999999996","0"

"Support","Fx [N]","Fy [N]","Fz [N]","Mx [N m]","My [N m]","Mz [N m]"
"s1","0","0","10000.000000000004","0","-29999.999999999996","0"

"Member","Position [fraction]","Axial N [N]","Shear Vy [N]","Shear Vz [N]","Torsion T [N m]","Moment My [N m]","Moment Mz [N m]"
"m1","0","0","0","-10000.000000000004","0","29999.999999999996","0"
"m1","0.025","0","0","-10000.000000000004","0","29249.999999999996","0"
"m1","0.05","0","0","-10000.000000000004","0","28499.999999999996","0"
"m1","0.075","0","0","-10000.000000000004","0","27749.999999999996","0"
"m1","0.1","0","0","-10000.000000000004","0","26999.999999999996","0"
"m1","0.125","0","0","-10000.000000000004","0","26249.999999999996","0"
"m1","0.15","0","0","-10000.000000000004","0","25499.999999999996","0"
"m1","0.175","0","0","-10000.000000000004","0","24749.999999999996","0"
"m1","0.2","0","0","-10000.000000000004","0","23999.999999999993","0"
"m1","0.225","0","0","-10000.000000000004","0","23249.999999999993","0"
"m1","0.25","0","0","-10000.000000000004","0","22499.999999999993","0"
"m1","0.275","0","0","-10000.000000000004","0","21749.999999999993","0"
"m1","0.3","0","0","-10000.000000000004","0","20999.999999999993","0"
"m1","0.325","0","0","-10000.000000000004","0","20249.999999999993","0"
"m1","0.35","0","0","-10000.000000000004","0","19499.999999999993","0"
"m1","0.375","0","0","-10000.000000000004","0","18749.999999999993","0"
"m1","0.4","0","0","-10000.000000000004","0","17999.999999999993","0"
"m1","0.425","0","0","-10000.000000000004","0","17249.999999999993","0"
"m1","0.45","0","0","-10000.000000000004","0","16499.999999999993","0"
"m1","0.475","0","0","-10000.000000000004","0","15749.999999999993","0"
"m1","0.5","0","0","-10000.000000000004","0","14999.99999999999","0"
"m1","0.525","0","0","-10000.000000000004","0","14249.999999999989","0"
"m1","0.55","0","0","-10000.000000000004","0","13499.999999999989","0"
"m1","0.575","0","0","-10000.000000000004","0","12749.999999999993","0"
"m1","0.6","0","0","-10000.000000000004","0","11999.999999999993","0"
"m1","0.625","0","0","-10000.000000000004","0","11249.999999999989","0"
"m1","0.65","0","0","-10000.000000000004","0","10499.999999999989","0"
"m1","0.675","0","0","-10000.000000000004","0","9749.999999999985","0"
"m1","0.7","0","0","-10000.000000000004","0","8999.999999999993","0"
"m1","0.725","0","0","-10000.000000000004","0","8249.999999999989","0"
"m1","0.75","0","0","-10000.000000000004","0","7499.999999999989","0"
"m1","0.775","0","0","-10000.000000000004","0","6749.999999999985","0"
"m1","0.8","0","0","-10000.000000000004","0","5999.999999999985","0"
"m1","0.825","0","0","-10000.000000000004","0","5249.999999999993","0"
"m1","0.85","0","0","-10000.000000000004","0","4499.999999999989","0"
"m1","0.875","0","0","-10000.000000000004","0","3749.9999999999854","0"
"m1","0.9","0","0","-10000.000000000004","0","2999.9999999999854","0"
"m1","0.925","0","0","-10000.000000000004","0","2249.999999999982","0"
"m1","0.95","0","0","-10000.000000000004","0","1499.999999999989","0"
"m1","0.975","0","0","-10000.000000000004","0","749.9999999999891","0"
"m1","1","0","0","-10000.000000000004","0","-1.4551915228366852e-11","0"
